Vernier Format 2
Nuovo file.cmbl 01/12/2021 17:06:58 .
Ultimo
Tempo	Tensione 1	Tensione 2	Tensione 3	Tensione 4	R1	R2	R3	Temperature
t	Tens 1	Tens 2	Tens 3	Tens 4	R1	R2	R3	T
s	V	V	V	V	Ω	Ω	Ω	K

3210	0.481074	0.01221	0.713065	1.17338	48.1074	1.221	0.713065	117.338
3220	0.478632	0.01221	0.708181	1.16972	47.8632	1.221	0.708181	116.972
3230	0.47619	0.01221	0.704518	1.16728	47.619	1.221	0.704518	116.728
3240	0.473748	0.01221	0.700855	1.16239	47.3748	1.221	0.700855	116.239
3250	0.471306	0.01221	0.697192	1.15873	47.1306	1.221	0.697192	115.873
3260	0.468864	0.01221	0.693529	1.15507	46.8864	1.221	0.693529	115.507
3270	0.466422	0.01221	0.689866	1.1514	46.6422	1.221	0.689866	115.14
3280	0.46398	0.01221	0.686203	1.15018	46.398	1.221	0.686203	115.018
3290	0.461538	0.01221	0.683761	1.14652	46.1538	1.221	0.683761	114.652
3300	0.466422	0.00854701	0.683761	1.14286	46.6422	0.854701	0.683761	114.286
3310	0.483516	0.00976801	0.688645	1.1453	48.3516	0.976801	0.688645	114.53
3320	0.493284	0.00976801	0.691087	1.14896	49.3284	0.976801	0.691087	114.896
3330	0.496947	0.00976801	0.695971	1.15385	49.6947	0.976801	0.695971	115.385
3340	0.499389	0.00976801	0.699634	1.15507	49.9389	0.976801	0.699634	115.507
3350	0.503053	0.00976801	0.70696	1.15873	50.3053	0.976801	0.70696	115.873
3360	0.505495	0.010989	0.713065	1.16117	50.5495	1.0989	0.713065	116.117
3370	0.510379	0.00976801	0.720391	1.16606	51.0379	0.976801	0.720391	116.606
3380	0.514042	0.010989	0.728938	1.17338	51.4042	1.0989	0.728938	117.338
3390	0.520147	0.010989	0.737485	1.17949	52.0147	1.0989	0.737485	117.949
3400	0.526252	0.010989	0.748474	1.18803	52.6252	1.0989	0.748474	118.803
3410	0.532357	0.010989	0.758242	1.19536	53.2357	1.0989	0.758242	119.536
3420	0.539683	0.01221	0.770452	1.20513	53.9683	1.221	0.770452	120.513
3430	0.547009	0.01221	0.782662	1.2149	54.7009	1.221	0.782662	121.49
3440	0.554335	0.01221	0.796093	1.22589	55.4335	1.221	0.796093	122.589
3450	0.564103	0.013431	0.809524	1.23687	56.4103	1.3431	0.809524	123.687
3460	0.57265	0.013431	0.822955	1.24908	57.265	1.3431	0.822955	124.908
3470	0.581197	0.013431	0.840049	1.26129	58.1197	1.3431	0.840049	126.129
3480	0.590965	0.013431	0.852259	1.27473	59.0965	1.3431	0.852259	127.473
3490	0.601954	0.013431	0.868132	1.28694	60.1954	1.3431	0.868132	128.694
3500	0.611722	0.014652	0.884005	1.30281	61.1722	1.4652	0.884005	130.281
3510	0.622711	0.014652	0.899878	1.31746	62.2711	1.4652	0.899878	131.746
3520	0.6337	0.014652	0.915751	1.33211	63.37	1.4652	0.915751	133.211
3530	0.644689	0.015873	0.932845	1.34676	64.4689	1.5873	0.932845	134.676
3540	0.655678	0.015873	0.95116	1.36264	65.5678	1.5873	0.95116	136.264
3550	0.667888	0.015873	0.965812	1.37973	66.7888	1.5873	0.965812	137.973
3560	0.680098	0.015873	0.984127	1.3956	68.0098	1.5873	0.984127	139.56
3570	0.692308	0.017094	1	1.4127	69.2308	1.7094	1	141.27
3580	0.704518	0.017094	1.01709	1.43101	70.4518	1.7094	1.01709	143.101
3590	0.717949	0.018315	1.03419	1.44689	71.7949	1.8315	1.03419	144.689
3600	0.730159	0.018315	1.05128	1.46398	73.0159	1.8315	1.05128	146.398
3610	0.74359	0.018315	1.0696	1.48107	74.359	1.8315	1.0696	148.107
3620	0.757021	0.019536	1.08669	1.50061	75.7021	1.9536	1.08669	150.061
3630	0.769231	0.019536	1.10256	1.51893	76.9231	1.9536	1.10256	151.893
3640	0.782662	0.019536	1.1221	1.53724	78.2662	1.9536	1.1221	153.724
3650	0.797314	0.020757	1.13797	1.55433	79.7314	2.0757	1.13797	155.433
3660	0.811966	0.021978	1.15629	1.57387	81.1966	2.1978	1.15629	157.387
3670	0.826618	0.021978	1.1746	1.59219	82.6618	2.1978	1.1746	159.219
3680	0.840049	0.021978	1.1917	1.6105	84.0049	2.1978	1.1917	161.05
3690	0.854701	0.023199	1.20879	1.63004	85.4701	2.3199	1.20879	163.004
3700	0.869353	0.023199	1.22711	1.65079	86.9353	2.3199	1.22711	165.079
3710	0.884005	0.023199	1.24298	1.66911	88.4005	2.3199	1.24298	166.911
3720	0.898657	0.02442	1.26129	1.68742	89.8657	2.442	1.26129	168.742
3730	0.913309	0.02442	1.27839	1.70574	91.3309	2.442	1.27839	170.574
3740	0.929182	0.02442	1.2967	1.7265	92.9182	2.442	1.2967	172.65
3750	0.945055	0.025641	1.3138	1.74481	94.5055	2.5641	1.3138	174.481
3760	0.960928	0.025641	1.33211	1.76435	96.0928	2.5641	1.33211	176.435
3770	0.97558	0.026862	1.34799	1.78388	97.558	2.6862	1.34799	178.388
3780	0.991453	0.026862	1.36386	1.8022	99.1453	2.6862	1.36386	180.22
3790	1.00733	0.028083	1.38339	1.82173	100.733	2.8083	1.38339	182.173
3800	1.0232	0.029304	1.40049	1.84249	102.32	2.9304	1.40049	184.249
3810	1.04029	0.029304	1.41758	1.86325	104.029	2.9304	1.41758	186.325
3820	1.05617	0.029304	1.43468	1.88156	105.617	2.9304	1.43468	188.156
3830	1.07204	0.030525	1.45177	1.9011	107.204	3.0525	1.45177	190.11
3840	1.08791	0.029304	1.46764	1.92063	108.791	2.9304	1.46764	192.063
3850	1.10379	0.030525	1.48474	1.94017	110.379	3.0525	1.48474	194.017
3860	1.11966	0.031746	1.50183	1.95971	111.966	3.1746	1.50183	195.971
3870	1.13675	0.031746	1.51893	1.97924	113.675	3.1746	1.51893	197.924
3880	1.15263	0.031746	1.53602	2	115.263	3.1746	1.53602	200
3890	1.16972	0.032967	1.55311	2.01832	116.972	3.2967	1.55311	201.832
3900	1.18559	0.034188	1.56777	2.03785	118.559	3.4188	1.56777	203.785
3910	1.20269	0.034188	1.5873	2.05739	120.269	3.4188	1.5873	205.739
3920	1.21856	0.034188	1.60317	2.07692	121.856	3.4188	1.60317	207.692
3930	1.23565	0.035409	1.61783	2.09646	123.565	3.5409	1.61783	209.646
3940	1.25275	0.03663	1.63614	2.116	125.275	3.663	1.63614	211.6
3950	1.26984	0.035409	1.65201	2.13553	126.984	3.5409	1.65201	213.553
3960	1.28694	0.03663	1.66789	2.15385	128.694	3.663	1.66789	215.385
3970	1.30281	0.03663	1.68376	2.17338	130.281	3.663	1.68376	217.338
3980	1.3199	0.037851	1.70085	2.19292	131.99	3.7851	1.70085	219.292
3990	1.33578	0.039072	1.71551	2.21123	133.578	3.9072	1.71551	221.123
4000	1.35287	0.039072	1.7326	2.22955	135.287	3.9072	1.7326	222.955
4010	1.36996	0.040293	1.74725	2.24786	136.996	4.0293	1.74725	224.786
4020	1.38706	0.040293	1.76313	2.2674	138.706	4.0293	1.76313	226.74
4030	1.40415	0.040293	1.77778	2.28694	140.415	4.0293	1.77778	228.694
4040	1.42125	0.041514	1.79365	2.30403	142.125	4.1514	1.79365	230.403
4050	1.43834	0.041514	1.80952	2.32234	143.834	4.1514	1.80952	232.234
4060	1.45543	0.042735	1.8254	2.33944	145.543	4.2735	1.8254	233.944
4070	1.47253	0.042735	1.84005	2.3602	147.253	4.2735	1.84005	236.02
4080	1.48718	0.043956	1.8547	2.37729	148.718	4.3956	1.8547	237.729
4090	1.50427	0.043956	1.87057	2.3956	150.427	4.3956	1.87057	239.56
4100	1.52381	0.043956	1.88523	2.4127	152.381	4.3956	1.88523	241.27
4110	1.5409	0.045177	1.89866	2.42979	154.09	4.5177	1.89866	242.979
4120	1.55678	0.045177	1.91331	2.44811	155.678	4.5177	1.91331	244.811
4130	1.57387	0.045177	1.92796	2.4652	157.387	4.5177	1.92796	246.52
4140	1.58852	0.046398	1.94261	2.4823	158.852	4.6398	1.94261	248.23
4150	1.6044	0.046398	1.95604	2.49939	160.44	4.6398	1.95604	249.939
4160	1.61905	0.047619	1.9707	2.5177	161.905	4.7619	1.9707	251.77
4170	1.6337	0.047619	1.98413	2.53602	163.37	4.7619	1.98413	253.602
4180	1.64835	0.04884	1.99878	2.55189	164.835	4.884	1.99878	255.189
4190	1.663	0.04884	2.01221	2.57021	166.3	4.884	2.01221	257.021
4200	1.67643	0.0500611	2.02564	2.58608	167.643	5.00611	2.02564	258.608
4210	1.68864	0.0500611	2.04029	2.60195	168.864	5.00611	2.04029	260.195
4220	1.70085	0.0512821	2.0525	2.61905	170.085	5.12821	2.0525	261.905
4230	1.71184	0.0525031	2.06593	2.63492	171.184	5.25031	2.06593	263.492
4240	1.72283	0.0512821	2.07937	2.65324	172.283	5.12821	2.07937	265.324
4250	1.7326	0.0525031	2.09158	2.66911	173.26	5.25031	2.09158	266.911
4260	1.73993	0.0525031	2.10623	2.68498	173.993	5.25031	2.10623	268.498
4270	1.74725	0.0537241	2.11844	2.7033	174.725	5.37241	2.11844	270.33
4280	1.75336	0.0537241	2.13187	2.71795	175.336	5.37241	2.13187	271.795
4290	1.75824	0.0537241	2.14408	2.7326	175.824	5.37241	2.14408	273.26
4300	1.75946	0.0537241	2.15629	2.74969	175.946	5.37241	2.15629	274.969
4310	1.75824	0.0561661	2.16972	2.76557	175.824	5.61661	2.16972	276.557
4320	1.75702	0.0549451	2.18071	2.78144	175.702	5.49451	2.18071	278.144
4330	1.75214	0.0561661	2.1917	2.79609	175.214	5.61661	2.1917	279.609
4340	1.74115	0.0573871	2.20513	2.81197	174.115	5.73871	2.20513	281.197
4350	1.7326	0.0573871	2.21612	2.82662	173.26	5.73871	2.21612	282.662
4360	1.72039	0.0573871	2.22833	2.84127	172.039	5.73871	2.22833	284.127
4370	1.70452	0.0586081	2.24054	2.85714	170.452	5.86081	2.24054	285.714
4380	1.68742	0.0586081	2.25153	2.87179	168.742	5.86081	2.25153	287.179
4390	1.66667	0.0586081	2.26252	2.88645	166.667	5.86081	2.26252	288.645
4400	1.64347	0.0586081	2.2735	2.9011	164.347	5.86081	2.2735	290.11
4410	1.61905	0.0598291	2.28449	2.91453	161.905	5.98291	2.28449	291.453
4420	1.59219	0.0610501	2.2967	2.92918	159.219	6.10501	2.2967	292.918
4430	1.56288	0.0610501	2.30769	2.94506	156.288	6.10501	2.30769	294.506
4440	1.53114	0.0610501	2.31624	2.95727	153.114	6.10501	2.31624	295.727
4450	1.49817	0.0610501	2.32845	2.97192	149.817	6.10501	2.32845	297.192
4460	1.46398	0.0622711	2.33822	2.98413	146.398	6.22711	2.33822	298.413
4470	1.42979	0.0622711	2.34921	2.99878	142.979	6.22711	2.34921	299.878
4480	1.39316	0.0634921	2.3602	3.01343	139.316	6.34921	2.3602	301.343
4490	1.35165	0.0634921	2.36996	3.02564	135.165	6.34921	2.36996	302.564
4500	1.31013	0.0634921	2.38095	3.03907	131.013	6.34921	2.38095	303.907
4510	1.27106	0.0647131	2.39194	3.0525	127.106	6.47131	2.39194	305.25
4520	1.23199	0.0647131	2.40171	3.06471	123.199	6.47131	2.40171	306.471
4530	1.19292	0.0647131	2.41148	3.07937	119.292	6.47131	2.41148	307.937
4540	1.15385	0.0659341	2.42125	3.09158	115.385	6.59341	2.42125	309.158
4550	1.116	0.0659341	2.43223	3.10379	111.6	6.59341	2.43223	310.379
4560	1.07937	0.0659341	2.44078	3.11844	107.937	6.59341	2.44078	311.844
4570	1.03907	0.0659341	2.45055	3.13065	103.907	6.59341	2.45055	313.065
4580	1	0.0659341	2.46032	3.14408	100	6.59341	2.46032	314.408
4590	0.959707	0.0671551	2.47253	3.15873	95.9707	6.71551	2.47253	315.873
4600	0.920635	0.0671551	2.4823	3.17338	92.0635	6.71551	2.4823	317.338
4610	0.885226	0.0671551	2.49328	3.18926	88.5226	6.71551	2.49328	318.926
4620	0.852259	0.0683761	2.50427	3.20147	85.2259	6.83761	2.50427	320.147
4630	0.821734	0.0695971	2.51404	3.21734	82.1734	6.95971	2.51404	321.734
4640	0.791209	0.0695971	2.52381	3.23199	79.1209	6.95971	2.52381	323.199
4650	0.763126	0.0695971	2.53358	3.2442	76.3126	6.95971	2.53358	324.42
4660	0.736264	0.0708181	2.5409	3.25763	73.6264	7.08181	2.5409	325.763
4670	0.709402	0.0708181	2.55311	3.26862	70.9402	7.08181	2.55311	326.862
4680	0.683761	0.0708181	2.56044	3.28327	68.3761	7.08181	2.56044	328.327
4690	0.659341	0.0708181	2.56899	3.29304	65.9341	7.08181	2.56899	329.304
4700	0.636142	0.0720391	2.57753	3.30525	63.6142	7.20391	2.57753	330.525
4710	0.614164	0.0720391	2.58608	3.31746	61.4164	7.20391	2.58608	331.746
4720	0.593407	0.0720391	2.59463	3.32723	59.3407	7.20391	2.59463	332.723
4730	0.573871	0.0732601	2.60317	3.33822	57.3871	7.32601	2.60317	333.822
4740	0.554335	0.0732601	2.6105	3.35043	55.4335	7.32601	2.6105	335.043
4750	0.53602	0.0744811	2.61905	3.36142	53.602	7.44811	2.61905	336.142
4760	0.518926	0.0744811	2.62637	3.36996	51.8926	7.44811	2.62637	336.996
4770	0.503053	0.0744811	2.6337	3.38217	50.3053	7.44811	2.6337	338.217
4780	0.485958	0.0757021	2.64103	3.39194	48.5958	7.57021	2.64103	339.194
4790	0.471306	0.0757021	2.64957	3.40171	47.1306	7.57021	2.64957	340.171
4800	0.456654	0.0757021	2.6569	3.41148	45.6654	7.57021	2.6569	341.148
4810	0.443223	0.0757021	2.66422	3.42247	44.3223	7.57021	2.66422	342.247
4820	0.429792	0.0769231	2.66911	3.43101	42.9792	7.69231	2.66911	343.101
4830	0.417582	0.0769231	2.67766	3.44078	41.7582	7.69231	2.67766	344.078
4840	0.405372	0.0781441	2.6862	3.45177	40.5372	7.81441	2.6862	345.177
4850	0.393162	0.0781441	2.69231	3.46154	39.3162	7.81441	2.69231	346.154
4860	0.382173	0.0781441	2.70085	3.46886	38.2173	7.81441	2.70085	346.886
4870	0.369963	0.0781441	2.70696	3.47985	36.9963	7.81441	2.70696	347.985
4880	0.360195	0.0781441	2.71551	3.4884	36.0195	7.81441	2.71551	348.84
4890	0.350427	0.0793651	2.72039	3.49817	35.0427	7.93651	2.72039	349.817
4900	0.339438	0.0793651	2.72772	3.50794	33.9438	7.93651	2.72772	350.794
4910	0.330891	0.0781441	2.73504	3.51648	33.0891	7.81441	2.73504	351.648
4920	0.321123	0.0793651	2.74115	3.52625	32.1123	7.93651	2.74115	352.625
4930	0.312576	0.0793651	2.74725	3.5348	31.2576	7.93651	2.74725	353.48
4940	0.304029	0.0805861	2.7558	3.54457	30.4029	8.05861	2.7558	354.457
4950	0.295482	0.0805861	2.7619	3.55311	29.5482	8.05861	2.7619	355.311
4960	0.286935	0.0805861	2.77045	3.56288	28.6935	8.05861	2.77045	356.288
4970	0.279609	0.0818071	2.77656	3.57143	27.9609	8.18071	2.77656	357.143
4980	0.272283	0.0805861	2.78144	3.5812	27.2283	8.05861	2.78144	358.12
4990	0.264957	0.0818071	2.78877	3.59096	26.4957	8.18071	2.78877	359.096
5000	0.258852	0.0818071	2.79609	3.59951	25.8852	8.18071	2.79609	359.951
5010	0.251526	0.0818071	2.80342	3.60806	25.1526	8.18071	2.80342	360.806
5020	0.2442	0.0830281	2.80952	3.61783	24.42	8.30281	2.80952	361.783
5030	0.238095	0.0830281	2.81563	3.62515	23.8095	8.30281	2.81563	362.515
5040	0.23199	0.0842491	2.82295	3.63614	23.199	8.42491	2.82295	363.614
5050	0.225885	0.0830281	2.82906	3.64469	22.5885	8.30281	2.82906	364.469
5060	0.21978	0.0842491	2.83639	3.65324	21.978	8.42491	2.83639	365.324
5070	0.214896	0.0842491	2.84249	3.663	21.4896	8.42491	2.84249	366.3
5080	0.208791	0.0842491	2.84982	3.67155	20.8791	8.42491	2.84982	367.155
5090	0.203907	0.0854701	2.85592	3.6801	20.3907	8.54701	2.85592	368.01
5100	0.199023	0.0854701	2.86325	3.69109	19.9023	8.54701	2.86325	369.109
5110	0.194139	0.0854701	2.87057	3.69841	19.4139	8.54701	2.87057	369.841
5120	0.188034	0.0854701	2.87668	3.70696	18.8034	8.54701	2.87668	370.696
5130	0.184371	0.0866911	2.88278	3.71795	18.4371	8.66911	2.88278	371.795
5140	0.179487	0.0866911	2.89011	3.72527	17.9487	8.66911	2.89011	372.527
5150	0.174603	0.0866911	2.89621	3.73504	17.4603	8.66911	2.89621	373.504
5160	0.17094	0.0866911	2.90354	3.74237	17.094	8.66911	2.90354	374.237
5170	0.167277	0.0879121	2.90965	3.75214	16.7277	8.79121	2.90965	375.214
5180	0.162393	0.0879121	2.91575	3.7619	16.2393	8.79121	2.91575	376.19
5190	0.15873	0.0879121	2.92308	3.77045	15.873	8.79121	2.92308	377.045
5200	0.156288	0.0879121	2.9304	3.779	15.6288	8.79121	2.9304	377.9
5210	0.151404	0.0891331	2.93651	3.78755	15.1404	8.91331	2.93651	378.755
5220	0.147741	0.0891331	2.94139	3.79609	14.7741	8.91331	2.94139	379.609
5230	0.144078	0.0891331	2.94994	3.80586	14.4078	8.91331	2.94994	380.586
5240	0.141636	0.0891331	2.95482	3.81319	14.1636	8.91331	2.95482	381.319
5250	0.137973	0.0903541	2.96337	3.82173	13.7973	9.03541	2.96337	382.173
5260	0.13431	0.0903541	2.96703	3.83272	13.431	9.03541	2.96703	383.272
5270	0.131868	0.0903541	2.97436	3.84005	13.1868	9.03541	2.97436	384.005
5280	0.128205	0.0903541	2.98169	3.85104	12.8205	9.03541	2.98169	385.104
5290	0.125763	0.0915751	2.98779	3.85836	12.5763	9.15751	2.98779	385.836
5300	0.1221	0.0915751	2.9939	3.86813	12.21	9.15751	2.9939	386.813
5310	0.119658	0.0915751	3.00122	3.87668	11.9658	9.15751	3.00122	387.668
5320	0.117216	0.0927961	3.00855	3.88523	11.7216	9.27961	3.00855	388.523
5330	0.114774	0.0915751	3.01465	3.89621	11.4774	9.15751	3.01465	389.621
5340	0.112332	0.0927961	3.02076	3.90354	11.2332	9.27961	3.02076	390.354
5350	0.10989	0.0927961	3.02686	3.91331	10.989	9.27961	3.02686	391.331
5360	0.107448	0.0927961	3.03175	3.92186	10.7448	9.27961	3.03175	392.186
5370	0.105006	0.0927961	3.03907	3.93285	10.5006	9.27961	3.03907	393.285
5380	0.103785	0.0940171	3.04518	3.94506	10.3785	9.40171	3.04518	394.506
5390	0.101343	0.0940171	3.05128	3.95482	10.1343	9.40171	3.05128	395.482
5400	0.0989011	0.0940171	3.05739	3.96581	9.89011	9.40171	3.05739	396.581
5410	0.0976801	0.0952381	3.06593	3.97558	9.76801	9.52381	3.06593	397.558
5420	0.0952381	0.0952381	3.07204	3.98657	9.52381	9.52381	3.07204	398.657
5430	0.0927961	0.0952381	3.07814	3.99512	9.27961	9.52381	3.07814	399.512
5440	0.0915751	0.0952381	3.08425	4.00488	9.15751	9.52381	3.08425	400.488
5450	0.0891331	0.0964591	3.09035	4.01465	8.91331	9.64591	3.09035	401.465
5460	0.0879121	0.0964591	3.09646	4.0232	8.79121	9.64591	3.09646	402.32
5470	0.0854701	0.0964591	3.10379	4.03297	8.54701	9.64591	3.10379	403.297
5480	0.0842491	0.0964591	3.10867	4.04029	8.42491	9.64591	3.10867	404.029
5490	0.0818071	0.0976801	3.116	4.05006	8.18071	9.76801	3.116	405.006
5500	0.0805861	0.0976801	3.1221	4.05739	8.05861	9.76801	3.1221	405.739
5510	0.0793651	0.0976801	3.12698	4.06716	7.93651	9.76801	3.12698	406.716
5520	0.0781441	0.0989011	3.13309	4.07448	7.81441	9.89011	3.13309	407.448
5530	0.0757021	0.0989011	3.13919	4.08303	7.57021	9.89011	3.13919	408.303
5540	0.0744811	0.0989011	3.14408	4.09158	7.44811	9.89011	3.14408	409.158
5550	0.0732601	0.0989011	3.15018	4.0989	7.32601	9.89011	3.15018	409.89
5560	0.0720391	0.100122	3.15629	4.10867	7.20391	10.0122	3.15629	410.867
5570	0.0708181	0.100122	3.16239	4.11477	7.08181	10.0122	3.16239	411.477
5580	0.0695971	0.100122	3.16728	4.1221	6.95971	10.0122	3.16728	412.21
5590	0.0683761	0.100122	3.17338	4.13187	6.83761	10.0122	3.17338	413.187
5600	0.0659341	0.100122	3.17949	4.13797	6.59341	10.0122	3.17949	413.797
5610	0.0659341	0.100122	3.18437	4.14652	6.59341	10.0122	3.18437	414.652
5620	0.0647131	0.101343	3.18803	4.15263	6.47131	10.1343	3.18803	415.263
5630	0.0634921	0.101343	3.19536	4.16239	6.34921	10.1343	3.19536	416.239
5640	0.0622711	0.101343	3.20024	4.1685	6.22711	10.1343	3.20024	416.85
5650	0.0622711	0.101343	3.20635	4.1746	6.22711	10.1343	3.20635	417.46
5660	0.0610501	0.102564	3.21123	4.18437	6.10501	10.2564	3.21123	418.437
5670	0.0598291	0.102564	3.21734	4.19048	5.98291	10.2564	3.21734	419.048
5680	0.0586081	0.102564	3.22222	4.19902	5.86081	10.2564	3.22222	419.902
5690	0.0586081	0.102564	3.22711	4.20513	5.86081	10.2564	3.22711	420.513
5700	0.0573871	0.103785	3.23199	4.21368	5.73871	10.3785	3.23199	421.368
5710	0.0561661	0.103785	3.2381	4.221	5.61661	10.3785	3.2381	422.1
5720	0.0549451	0.103785	3.24298	4.22711	5.49451	10.3785	3.24298	422.711
5730	0.0537241	0.103785	3.24786	4.23565	5.37241	10.3785	3.24786	423.565
5740	0.0537241	0.103785	3.25397	4.24176	5.37241	10.3785	3.25397	424.176
5750	0.0525031	0.105006	3.25763	4.24908	5.25031	10.5006	3.25763	424.908
5760	0.0525031	0.105006	3.26374	4.25519	5.25031	10.5006	3.26374	425.519
5770	0.0500611	0.105006	3.26862	4.26252	5.00611	10.5006	3.26862	426.252
5780	0.0500611	0.105006	3.27473	4.26984	5.00611	10.5006	3.27473	426.984
5790	0.04884	0.105006	3.27839	4.27717	4.884	10.5006	3.27839	427.717
5800	0.04884	0.106227	3.28327	4.28327	4.884	10.6227	3.28327	428.327
5810	0.047619	0.107448	3.2906	4.2906	4.7619	10.7448	3.2906	429.06
5820	0.047619	0.107448	3.29304	4.29548	4.7619	10.7448	3.29304	429.548
5830	0.046398	0.106227	3.29915	4.30525	4.6398	10.6227	3.29915	430.525
5840	0.046398	0.107448	3.30159	4.31136	4.6398	10.7448	3.30159	431.136
5850	0.045177	0.107448	3.30769	4.31624	4.5177	10.7448	3.30769	431.624
5860	0.045177	0.107448	3.31136	4.32357	4.5177	10.7448	3.31136	432.357
5870	0.043956	0.107448	3.31746	4.32967	4.3956	10.7448	3.31746	432.967
5880	0.043956	0.108669	3.32112	4.337	4.3956	10.8669	3.32112	433.7
5890	0.042735	0.108669	3.32601	4.3431	4.2735	10.8669	3.32601	434.31
5900	0.042735	0.108669	3.33211	4.34921	4.2735	10.8669	3.33211	434.921
5910	0.041514	0.108669	3.33578	4.35531	4.1514	10.8669	3.33578	435.531
5920	0.041514	0.108669	3.34066	4.36264	4.1514	10.8669	3.34066	436.264
5930	0.041514	0.108669	3.34676	4.36752	4.1514	10.8669	3.34676	436.752
5940	0.040293	0.10989	3.34799	4.37485	4.0293	10.989	3.34799	437.485
5950	0.039072	0.10989	3.35287	4.37973	3.9072	10.989	3.35287	437.973
5960	0.039072	0.10989	3.35775	4.38706	3.9072	10.989	3.35775	438.706
5970	0.039072	0.10989	3.36142	4.39316	3.9072	10.989	3.36142	439.316
5980	0.039072	0.10989	3.3663	4.39805	3.9072	10.989	3.3663	439.805
5990	0.039072	0.111111	3.37118	4.40537	3.9072	11.1111	3.37118	440.537
6000	0.037851	0.111111	3.37607	4.41026	3.7851	11.1111	3.37607	441.026
6010	0.03663	0.111111	3.37851	4.41636	3.663	11.1111	3.37851	441.636
6020	0.03663	0.112332	3.38339	4.42247	3.663	11.2332	3.38339	442.247
6030	0.035409	0.112332	3.38828	4.42735	3.5409	11.2332	3.38828	442.735
6040	0.035409	0.112332	3.39194	4.43223	3.5409	11.2332	3.39194	443.223
6050	0.035409	0.112332	3.39683	4.43956	3.5409	11.2332	3.39683	443.956
6060	0.034188	0.112332	3.40171	4.44444	3.4188	11.2332	3.40171	444.444
6070	0.034188	0.113553	3.40415	4.45177	3.4188	11.3553	3.40415	445.177
6080	0.034188	0.112332	3.40904	4.45543	3.4188	11.2332	3.40904	445.543
6090	0.034188	0.113553	3.41392	4.46276	3.4188	11.3553	3.41392	446.276
6100	0.034188	0.113553	3.41758	4.46764	3.4188	11.3553	3.41758	446.764
6110	0.032967	0.113553	3.42125	4.47253	3.2967	11.3553	3.42125	447.253
6120	0.032967	0.113553	3.42491	4.47741	3.2967	11.3553	3.42491	447.741
6130	0.031746	0.113553	3.42857	4.48474	3.1746	11.3553	3.42857	448.474
6140	0.031746	0.113553	3.43346	4.48718	3.1746	11.3553	3.43346	448.718
6150	0.031746	0.114774	3.43712	4.49451	3.1746	11.4774	3.43712	449.451
6160	0.031746	0.113553	3.44078	4.49817	3.1746	11.3553	3.44078	449.817
6170	0.030525	0.114774	3.44444	4.50305	3.0525	11.4774	3.44444	450.305
6180	0.030525	0.114774	3.44933	4.51038	3.0525	11.4774	3.44933	451.038
